City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
385,Sarangani,PH,83.44,broken clouds,5.4033,125.4636,Ballistic Islet
387,Bonthe,SL,76.39,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
389,Kasama,ZM,73.65,overcast clouds,-10.2129,31.1808,Kalebalika Cottages
393,Gewane,ET,88.95,broken clouds,10.1664,40.6453,Ayelu pension
396,Nushki,PK,75.65,clear sky,29.5542,66.0215,Shams hotel
401,Kutum,SD,78.85,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
407,Iberia,US,85.98,broken clouds,29.9502,-91.7507,back to back rv park
408,Kirkuk,IQ,78.31,clear sky,35.4681,44.3922,تل عبدالعزيز
412,Hambantota,LK,80.44,overcast clouds,6.1241,81.1185,Bungalow 63
413,Haslett,US,81.54,clear sky,42.747,-84.4011,Nemoke Trails
418,Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
421,Freeport,US,82.42,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
424,Brantford,CA,77.85,overcast clouds,43.1334,-80.2664,Comfort Inn
430,Savalia,GR,74.14,few clouds,37.8216,21.2943,Caravan Spyropoulos
432,Sorrento,IT,74.88,clear sky,40.626,14.3744,Hilton Sorrento Palace
438,Doha,QA,88.11,clear sky,25.2867,51.5333,Movenpick Hotel Doha
439,Darnah,LY,74.84,clear sky,32.767,22.6367,فندق الفردوس
440,Kerema,PG,77.77,overcast clouds,-7.9631,145.7785,Frena Lodge
447,Ibra,OM,81.66,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
448,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
451,Porbandar,IN,79.99,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
454,Pangai,TO,75.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
455,Santa Maria,BR,79.9,clear sky,-29.6842,-53.8069,Hotel Morotin
